"id","name","parent_id","description","identifier","created_on"
59,"WMACi",56,"","wmaci","2014-01-10 16:36:54"
60,"Profield",56,"","profield","2014-01-17 17:54:06"
62,"Postapont",56,"","postapont","2014-01-22 16:01:55"
63,"Postapont Fórum",62,"","postapont-forum","2014-01-22 16:19:24"
64,"Heliforce",96,"<p>Nyitó:</p><p>facebook, youtube ikon<br />lapozóval vannak hibák.<br />Olyan lapozó kell, ami csúsztatja, és nem ilyen hirtelen vált<br />a lapozó pöttyöket jobban kiemelni<br />A flekk is link legyen, az egész</p><p>Ne legyen sorkizárt a 3 kiemelt pirosnál<br />- A nyilak igazíátsa sem jó</p><p>Partnerek logók - megtervezése, ne legyen alapból szürke rajta<br />Szolgáltatások sortáv</p><p>Nem a végleges design alapján készült<br />fontcsere sem ártana<br />logó sem éles</p><p>Rólunk:<br />Kell olyan template, ami teljes szélességű</p><p>Referenciák:<br />- nem kell ide a jobb oldali kép<br />- nem linkel semelyik, de vagy táblázat legyen, vagy valahogy jobb megjelenítéssel</p><p>Gépparkunk - szövegbe is beszúrni több galéria</p><p>Cégtörténet<br />- build nem jó, kellene csúszkás változat. A blokk szövegméret alapján nyúljon</p><p>Szolgáltatások:<br />- breadcrumb (felső kenyérszöveg)</p><p>Reszpó nem kell, de cokelidl féle...</p><p>2 landing page-t kell tervezni.</p><p>Extrém helikopterezésnél és a bungee jumpingnál kell kosár, repülési időpont</p><p>Force</p>","heliforce","2014-01-23 17:02:51"
65,"API",62,"<p>API-val kapcsolatos kérése, kérdések</p>","api","2014-01-27 13:49:54"
66,"ICDO",17,"<p>Az ENSZ katasztrófavédelmi szervezetének weboldalának megújítása.</p>","icdo","2014-01-28 10:39:12"
67,"Reisner Frank & Partner",96,"<p>Feladat: redesign.</p><p>RFP (Reisner, Frank und Partner) is an office of engineers and management consultants in the field of big gastronomy companies.<br />We are among the three biggest companies of such kind in Germany and have a very strong and good reputation.<br />Among our clients are actually almost all big and well known national and international companies in Germany. For them we not only did plan their kitchen and  guest room facilities (with frontline cooking etc.), but we did also consult them in the very beginning about economic and general food issues. We also help them with finding the right caterers by making the appropriate tenders and search the right partners on the market. We make the business plans, help them to improve their finances by choosing the right type of catering and much much more.</p>","reisner-frank-partner","2014-01-31 13:22:49"
68,"Fairfax Yeaman",17,"<p>Fairfax Yeaman Ltd specializes in the outsourcing of Bookkeeping, Accounting and Payroll services and offers a cost-effective strategy that saves companies time, staff and infrastructure costs.</p><p>1)      Simple site design by Mate.</p><p>2)      Subscription Box</p><p>3)      Contact module + Mailchimp.</p>","fairfax-yeaman","2014-02-06 16:45:42"
69,"Logitech",96,"<p>logitech promó G szériára</p>","logi-g","2014-02-10 14:43:29"
70,"Bonduelle - a mi zöldségesünk",33,"","bonduelle-a-mi-zoeldsegesuenk","2014-02-10 18:32:44"
71,"FX Career",17,"<p>Új oldal készítése, ahol az online.fxcareer integrálva van.</p><p>1) max 10 pages of content including a page for the course syllabus/timetable</p><p>2) student area – password login for content</p><p>3) contact form and simple CRM to collect leads/data on applicants that are interested in taking the course</p><p>4) payment area to accept payments from students for course fees</p><p>5) integrate <a class=\"external\" href=\"http://www.online.fxcareers.com\">www.online.fxcareers.com</a> into the site so we can sell access to the online course videos.</p>","fx-career","2014-02-13 14:16:58"
72,"Leasing market",96,"","leasing-market","2014-02-17 16:45:24"
75,"Kattanj rá és nyerj!",69,"","kattanj-ra-es-nyerj","2014-02-20 18:44:30"
76,"Nivea ",33,"","nivea","2014-02-24 16:00:11"
77,"Nivea promóciós site",76,"","nivea-promocios-site","2014-02-24 16:02:07"
79,"Lacom",96,"","lacom","2014-02-26 16:21:34"
80,"Signoart studio",96,"<p>chezen található a <strong><a class=\"external\" href=\"http://www.signoartstudio.hu\">www.signoartstudio.hu</a></strong> mappában.<br />Arra figyeljetek, hogy ez nem egyenlő a <a class=\"external\" href=\"http://www.signoart.hu-val\">www.signoart.hu-val</a>!!!<br />Ez két különböző projekt.</p><p>Admin felület:</p><p>admin.signoartstudio.hu<br />user: gbadmin    <br />pass: 2vg4p635</p>","signoart-studio","2014-03-03 12:05:30"
81,"Coca-Cola",33,"","coca-cola","2014-03-04 17:39:30"
82,"Coke FIFA",81,"","coke-fifa","2014-03-04 17:40:48"
83,"Coke BURN",81,"","coke-burn","2014-03-04 19:12:28"
84,"Főgáz",52,"","fogaz","2014-03-05 12:42:14"
85,"Curzon Land",17,"<p>Ingatlan befektető cég weboldala</p>","curzon-land","2014-03-07 16:18:17"
86,"Antenna Hungária",33,"","antenna-hungaria","2014-03-11 11:28:24"
88,"LED plafon",350,"","led-plafon","2014-03-13 13:54:12"
89,"HaverVagy v2",36,"","havervagy-v2","2014-03-17 19:14:39"
90,"VGA Law",17,"<p>Redesign</p>","vga-law","2014-03-18 18:06:21"
91,"Assaha",17,"<p>Libanoni étterem új weboldala online étlappal és ételrendeléssel.</p>","assaha","2014-03-19 09:57:38"
92,"Everstate",17,"<p>Pascal Hünis építész különböző szolgáltatásait bemutató oldal.</p>","everstate","2014-03-19 10:24:49"
93,"Le Lumia",17,"<p>Apartman ház weboldala</p>","le-lumia","2014-03-19 10:41:31"
94,"Pick szeged",56,"","pick-szeged","2014-03-20 13:09:03"
95,"Opel játék",32,"","opel-promo","2014-03-20 17:24:26"
96,"GBaRT",NULL,"<p>A Projekt célja az, hogy a munkák során megszerzett tapasztalatokat, jó gyakorlatokat, és irányelveket megosszuk egymással, közös és egységes helyre lejegyezzük.</p><p>A Projekten belül definiált feladatokat tekintsük úgy, mint a működéssel (fejlesztési, grafikai, szervezési, kommunikációval...) kapcsolatos általános módosítások és átalakítások, később fenntartandó irányelvek jegyzéke, a wiki-ben pedig rögzítsünk minden általános információt, aminek eddig nem találtunk helyet.</p>","gbart","2014-03-20 22:19:29"
97,"Profield - PMK",60,"<p>Sitebuild: <a class=\"external\" href=\"http://www.gbart.hu/sitebuild/pmkk\">www.gbart.hu/sitebuild/pmkk</a></p><p>Meg kellene tervezni a Profield munkaerőkölcsönző oldal tervét.<br />Pendrive-ot odatettem az asztalodra Máté, ebben a mappában vannak az elemek, amiket használni tudsz: Profield_MKK</p><p>A weblap domainje, itt egyelőre ideiglenes oldal látható: <a class=\"external\" href=\"http://www.profieldkolcsonzo.hu\">www.profieldkolcsonzo.hu</a><br />A logó az fix.</p><p>Belinkelem néhány konkurens weblapját is, mert a tartalom és az elrendezés nagyjából náluk is megegyezik:<br /><a class=\"external\" href=\"http://www.delego.hu/\">http://www.delego.hu/</a><br /><a class=\"external\" href=\"http://www.workwayclub.hu/\">http://www.workwayclub.hu/</a><br /><a class=\"external\" href=\"http://www.workforce.hu/view/main/10.html\">http://www.workforce.hu/view/main/10.html</a></p><p>A Prohumanos oldalt szeretnék gyakorlatilag lebutítani, leegyszerűsíteni és egy új design-t adni neki: <a class=\"external\" href=\"http://www.prohuman.hu\">www.prohuman.hu</a></p><p>Csatoltam a weboldal \"sitecopy\"-ját, még nem teljes, de ezt használjuk.<br />Csatoltam a weblap struktúrát.</p><p>A weboldal moduljai, funkciói:<br />- egyedi, reszponzív arculat tervezése<br />- reszponzív sitebuild (HTML/CSS)<br />- tartalomkezelő (CMS) integrálása<br />- állásajánlat modul (front oldali listázás, adatlap, admin feltöltés)<br />- ajánlatkérés modul (kérések kezelése, listázása adminon)<br />- referenciák és partnerek modulok (egyedi tartalomfeltöltő modulok)<br />- dokumentumtár (admin dokumentum kezelés, front oldali listázás, szűrés, keresés)</p><p>A web02-re kell majd fejleszteni, repo neve: profieldkolcsonzo</p>","profield-mkk","2014-03-26 19:41:56"
99,"unibind.hu",96,"<p><a class=\"external\" href=\"http://www.ntt2000.hu/admin.php\">www.ntt2000.hu/admin.php</a>    <br />gbadmin    <br />gbwebdesign</p>","unibind-hu","2014-03-27 11:19:16"
100,"Csomagautomata microsite",62,"","csomagautomata-microsite","2014-03-27 14:49:22"
101,"FB app",83,"","fb-app","2014-03-27 14:53:58"
102,"Coke Lidl",81,"","coke-lidl","2014-03-28 17:00:59"
104,"MJSZ",96,"","mjsz","2014-04-01 13:12:04"
105,"HeppDental",96,"<p>HeppDental fogszakorvosi rendelő</p>","heppdental","2014-04-02 16:18:07"
106,"Chabrier",17,"<p>Egy ügyvédi iroda (<a class=\"external\" href=\"http://www.chabrier.ch\">www.chabrier.ch</a>) weboldalát kell újratervezni a jelenlegi tartalommal, a jelenlegi arculati elemekkel és stílusban, csak a megjelenítés modernizálásával.</p>","chabrier","2014-04-14 13:53:46"
107,"Wang Mester",96,"","wang-mester","2014-04-14 16:53:47"
109,"FC Lancy",17,"<p>New website for the club.</p><p>Deadline: 1st July 2014</p><p>The project will require:<br />- a unique design for the website <br />- responsive sitebuild<br />- team and player management module<br />- simple webshop (product catalog, basket, order handling - without payment)<br />- newsletter (MailChimp)<br />- calendar module</p>","fc-lancy","2014-04-17 16:35:13"
110,"Polgár optika",96,"","polgar-optika","2014-04-22 11:58:09"
111,"ACE & Company",17,"<p>Befektetési tanácsadó cég oldalának újratervezése.</p>","ace-company","2014-04-24 17:12:38"
112,"Dr.Oetker",33,"","dr-oetker","2014-04-28 13:53:38"
113,"Jet-info",17,"<p>Redesigning and redeveloping the site of a company specialised in IT solutions.</p>","jet-info","2014-04-29 10:43:23"
114,"Eureka",17,"<p>Informatikai szolgáltatásokat nyújtócég weboldalának újradesignolása.</p>","eureka","2014-04-29 11:24:43"
115,"Redmine frontend",418,"<p>redmine felületének bővítése</p><p><a class=\"external\" href=\"http://redminefrontend.web02.dev7.gbart.hu\">http://redminefrontend.web02.dev7.gbart.hu</a><br />belépés: gbadmin / gbwebdesign</p>","redmine-frontend","2014-04-29 15:26:20"
116,"La Reserve",17,"<p>MICHEL REYBIER GROUP SITE: This site will display all the investments of the owner of la reserve.  (<strong>30 September</strong> launch: 28 November)<br />LA RESERVE GROUP HOSPITALITY: To present only the hotels of La Reserve and nothing else.(<strong>30 September</strong>, launch: 20 November)  <br />LA RESERVE GENEVE: The hotel in Geneva (<strong>30 September</strong>)<br />LA RESERVE PARIS: The hotel in Paris that will have to display the hotel and the flats. (<strong>24 October</strong>)<br />LA RESERVE RAMATUELLE: La Reserve in South of France. (<strong>20 November</strong>)<br />LA CHARTREUSE: The private house of the owner in South of France that he rents for the summer to VIP People. (<strong>7 November</strong>)<br />LA RESERVE BLOG: The Blog will have to communicate with the other sites and every time we post something we will need to send it to the other sites in order to create back links between them.</p>","la-reserve","2014-05-05 12:29:58"
117,"Hotel Les Trois Couronnes",17,"<p>Weboldal újradesignolása.</p>","hotel-les-trois-couronnes","2014-05-05 12:35:37"
118,"Client portal",51,"<p>Ügyfél portál kiemelt Delman ügyfeleknek</p>","client-portal","2014-05-05 15:20:37"
119,"Stylestoree",17,"<p>Divatbloggerek webshopjából összegyűjtött termékek számára webshop</p>","stylestoree","2014-05-10 09:44:57"
120,"Happiness Consulting",33,"<p>A Happiness Consulting Internationalhoz tartozó projektek.</p>","happiness-consulting","2014-05-10 14:55:50"
121,"HC-Survey CRM",120,"","hc-survey-crm","2014-05-10 15:09:06"
122,"Jobies",17,"","jobies","2014-05-13 12:35:26"
123,"Wega",17,"<p>WEGA is a producer of a new type of (Mastercard) credit card with extra security</p><p>We are asked to design and create a new website and the client portal.</p>","wega","2014-05-14 12:29:30"
124,"BurnF1 promó site",83,"","burnf1-promo-site","2014-05-14 13:49:33"
125,"Szurkolj velünk",69,"","szurkolj-veluenk","2014-05-16 15:05:42"
126,"Lake master",17,"<p>Új weboldal egy Wakeboard és vizisí központnak.</p>","lake-master","2014-05-19 10:40:05"
127,"CCA tablet & mobil nézetek",46,"","cca-tablet-mobil-nezetek","2014-05-19 14:16:31"
128,"Fitness by California",17,"<p>Új weboldal tervezése fitness központ számára</p>","fitness-by-california","2014-05-19 14:52:29"
129,"Sentinel Lab",17,"<p>Logo és arculat tervezés.</p>","sentinel-lab","2014-05-20 09:37:37"
130,"MailOnTime (a.k.a Mailtimer)",17,"<p>Mobil app iOs-re és Andoidra, amivel időzítetten lehet e-maileket küldeni</p>","mailtimer","2014-05-20 16:47:42"
131,"IBUSZ posztok",1,"","ibusz-posztok","2014-05-21 11:12:33"
132,"BK facebook tab",27,"","bk-facebook-tab","2014-05-21 14:44:21"
133,"FMR Bar",17,"","fmr-bar","2014-05-22 15:06:08"
134,"Bonbonetti",33,"","bonbonetti","2014-05-23 12:13:17"
135,"Rosenwhite",17,"<p>Webshop készítése.</p>","rosenwhite","2014-05-26 12:22:16"
136,"Multibox",96,"","multibox","2014-05-26 12:55:05"
137,"Multitube",136,"","multitube","2014-05-26 12:55:20"
138,"Meyrin FC",17,"<p>Új weboldal készítése a futballklub számára.</p>","meyrin-fc","2014-05-28 22:16:05"
139,"Friskies",56,"","friskies","2014-05-29 16:02:57"
141,"Nestea",33,"","nestea","2014-06-02 14:29:17"
142,"FaceJob",96,"","facejob","2014-06-02 20:52:16"
143,"LED",350,"","led","2014-06-03 12:14:20"
144,"WOM",33,"","wom","2014-06-05 10:33:49"
145,"JAR Tracking ",17,"<p>Flotta kezeléssel és járművekbe beépített telematikai megoldásokkal foglalkozó cég új weboldala.</p>","jar-tracking","2014-06-11 11:57:56"
146,"Goldpartner",96,"","goldpartner","2014-06-11 14:10:33"
147,"FanJune",96,"<p>A weboldalon ruhákat szeretne az ügyfél B2B árulni, azaz viszonteladást tervez.<br />Nagyrészt nagyméretű, idős nőknek készült ruhákat fog forgalmazni.<br />Nem valós webshop lesz, csak termék katalógus.</p>","fanjune","2014-06-12 09:44:13"
148,"Rossmills",17,"<p>Gyűjtőoldal készítése a vállalatcsoport tevékenységeinek bemutatására.</p>","rossmills","2014-06-12 12:30:56"
149,"Goodyear",33,"","goodyear","2014-06-12 15:18:11"
150,"Sonata CMS",418,"<p>Sonata base CMS</p>","sonata-cms","2014-06-16 00:23:52"
151,"Microplane shop",96,"<p>Chezen van az oldal, a <a class=\"external\" href=\"http://www.microplane.hu\">www.microplane.hu</a> mappában</p>","microplane-shop","2014-06-18 11:01:29"
152,"Akadémia kiadó",96,"","akademia-kiado","2014-06-18 11:36:29"
153,"Dronograph",96,"","dronograph","2014-06-18 15:21:00"
154,"Wikeeps",17,"<p>bor minőségének megőrzésére szolgáló termék bemutató oldala(és webshop)</p>","wikeeps","2014-06-18 15:30:47"
155,"Genecand",17,"<p>Catering szolgáltatást nyújtó cég bemutatkozó oldalának újratervezése.</p>","genecand","2014-06-23 15:33:58"
156,"_Kreatív ötlet gyűjtés",418,"<p>&ltp&gtAdott témában egyedi design megoldások gyűjtése.&lt/p&gt</p>","kreativ-oetlet-gyujtes","2014-06-23 17:49:20"
157,"MultiWeb",136,"","multiweb","2014-06-25 14:07:04"
158,"MERSSAD",17,"","merssad","2014-06-26 16:09:11"
159,"Unigestion",17,"<p>Svájci befektetéskezelő cég új honlapjának elkészítése.</p>","unigestion","2014-07-02 10:15:22"
160,"Energia-bróker",96,"<p>C5-ben készült a projekt, még Tibi csinálta. <br />H3-on van.</p><p><a class=\"external\" href=\"http://energia-broker.hu/login\">http://energia-broker.hu/login</a><br />admin<br />gbpass</p>","energia-broker","2014-07-03 13:15:59"
161,"PROBOND",NULL,"<p>A probond első nagy szakasza lezárult 2014. juli. 4-én. Az ezt következő időszakban óraszámelszámolásba mennek a fejelsztések.<br />Abben a projektben követjük nyomon ezeket a fejelsztéseket (support) illetve alprojektbe a garanciális munkákat is.</p>","probond-crm-2014","2014-07-04 14:37:46"
163,"2Pets",96,"<p>Kisállateledel és felszerelés webshop Prestashopban</p>","2pets","2014-07-04 17:11:04"
164,"Planet caviar",17,"<p>Étterem oldalának újra designolása.</p>","planet-caviar","2014-07-07 11:51:17"
165,"RECRM - recruitment crm system",NULL,"<p>Instant (dobozos) recruitment crm rendszer.</p>","recrm-recruitment-crm-system","2014-07-08 10:41:48"
167,"Star Játszóház",96,"<p>Játszóház többnyelvű bemutatkozó oldala</p>","szjh","2014-07-09 10:26:00"
168,"Epicerie Fine Heritage",17,"<p>Wine shop &#38 food webshop</p>","epicerie-fine-heritage","2014-07-09 12:01:19"
169,"JAR Capital",17,"","jar-capital","2014-07-16 11:12:28"
170,"Group Site",116,"<p>Deadline: 30th September</p><p>url: <a class=\"external\" href=\"http://www.lareserve.com\">www.lareserve.com</a></p>","group-site-michel-reybier-hospitality","2014-07-16 14:07:55"
171,"La Reserve Geneva",116,"<p>Launch: 30th September</p><p>url: <a class=\"external\" href=\"http://www.lareserve.ch\">www.lareserve.ch</a></p>","la-reserve-geneva","2014-07-16 14:10:57"
172,"Fanta",33,"","fanta","2014-07-18 13:55:58"
173,"Wizzair",56,"","wizzair","2014-07-21 14:35:47"
174,"GBaRT Management",418,"","gbart-management","2014-07-21 14:39:10"
175,"Budapest Plasztikai Intézet",96,"","budapest-plasztikai-intezet","2014-07-22 17:04:50"
176,"ELMÜ",33,"","elmue","2014-07-23 16:46:27"
177,"Heineken",33,"","heineken","2014-07-24 11:02:45"
178,"Bonathan Technologies",17,"<p>Website for a clean technology investor company.</p>","bonathan-technologies","2014-07-24 12:16:10"
179,"DM",33,"","dm","2014-07-25 18:19:32"
180,"Web SEO Wire",17,"<p>Blog az 8waysnek visszalinkeléshez.</p>","web-seo-wire","2014-07-30 10:17:33"
181,"Játssz velünk és nyerj!",69,"","jatssz-veluenk-es-nyerj","2014-07-30 10:17:56"
182,"Tsé Fung",17,"<p>Websites for an Asian gourmet restaurant.</p><p>- TseFung group (gyűjtőoldal)<br />- TseFung Geneva (étterem bemutató)<br />- TseFung Saint Petersburg (étterem bemutató)</p><p>Deadline to go live: 30 September</p>","tse-fung","2014-08-04 11:10:10"
183,"Tsé Fung Group Page",182,"<p>Group page for the 2 restaurants</p>","tse-fung-group-page","2014-08-04 11:19:37"
184,"Tsé Fung Geneve",182,"<p>Going Live: 16 February</p>","tse-fung-geneve","2014-08-04 11:53:05"
185,"Tsé Fung St Petersburg",182,"","tse-fung-st-petersburg","2014-08-04 11:57:27"
187,"BookBedder",17,"<p>Design and sitebuild project for OneLab's future booking site.</p>","bookbedder","2014-08-06 10:30:32"
189,"GPS",96,"","gps","2014-08-11 10:37:26"
190,"LaReserve HR",116,"","lareserve-hr","2014-08-12 10:41:29"
191,"Allview",96,"","allview","2014-08-12 11:19:08"
192,"Cisel",17,"<p>New website for an IT solutions provider company.</p>","cisel","2014-08-12 14:51:06"
193,"Nikki Beach",201,"","nikki-beach","2014-08-13 17:34:13"
194,"Pillangó Patika",96,"","pillango-patika","2014-08-14 11:38:18"
195,"Energizer",33,"","energizer","2014-08-14 11:46:47"
196,"La Reserve Blog",116,"","la-reserve-blog","2014-08-14 18:03:01"
197,"Micro Express",96,"","micro-express","2014-08-14 20:28:54"
198,"Mahart Passnave",96,"","mahart_turist","2014-08-15 10:17:36"
199,"Gyermekbántalmazás",96,"","gyermekbantalmazas","2014-08-15 12:18:07"
200,"Friends Management",NULL,"<p>FM specializes in total    management of new openings with    the areas of concept, design, build, menus and staff training all provided    under one roof.</p><p>Tasks: <br />- logo for FM- redesign of these sites: <a class=\"external\" href=\"http://friends-managements.com\">http://friends-managements.com</a>,    <a class=\"external\" href=\"http://the-strand.fr\">http://the-strand.fr</a>, <a class=\"external\" href=\"http://www.ermitage-du-riou.fr\">http://www.ermitage-du-riou.fr</a>,    <a class=\"external\" href=\"http://www.brasseriedesarts.com\">http://www.brasseriedesarts.com</a>, <a class=\"external\" href=\"http://www.bistrot-la-truffe.com\">http://www.bistrot-la-truffe.com</a>, <a class=\"external\" href=\"http://www.muse-hotels.com\">http://www.muse-hotels.com</a>, <a class=\"external\" href=\"http://www.villaazurmiami.com\">http://www.villaazurmiami.com</a>,</p>","friends-management","2014-08-15 16:26:18"
201,"Friends Managements",17,"<p>FM specializes    in total management of new openings with the areas of concept, design,    build, menus and staff training    all provided    under one roof.</p><p>Tasks:<br />- create a logo for FM<br />- redesign of these websites:    <a class=\"external\" href=\"http://friends-managements.com\">http://friends-managements.com</a>,    <a class=\"external\" href=\"http://the-strand.fr\">http://the-strand.fr</a>, <a class=\"external\" href=\"http://www.ermitage-du-riou.fr\">http://www.ermitage-du-riou.fr</a>, <a class=\"external\" href=\"http://www.brasseriedesarts.com\">http://www.brasseriedesarts.com</a>, <a class=\"external\" href=\"http://www.bistrot-la-truffe.com\">http://www.bistrot-la-truffe.com</a>, <a class=\"external\" href=\"http://www.muse-hotels.com\">http://www.muse-hotels.com</a>, <a class=\"external\" href=\"http://www.villaazurmiami.com\">http://www.villaazurmiami.com</a>,</p>","friends-managements","2014-08-15 16:31:38"
202,"Uni5",17,"<p>Uni5 SA is company that operates in real estate sector, and commercializes for rent or sale purposes big real estate projects. We need to create their new website.</p>","uni5","2014-08-19 16:24:44"
203,"Swiss Addict",17,"<p>Logo design</p>","swiss-addict","2014-08-21 12:12:18"
204,"Fruit for thoughts",17,"<p>Website for a fresh squeezed fruit juice shop.</p>","fruit-for-thoughts","2014-08-26 17:58:11"
205,"LoyalBank",508,"","loyalbank","2014-08-29 00:36:51"
206,"Budapest sétarepülés",96,"","budapest-setarepueles","2014-08-29 12:38:25"
207,"Globalis partner",17,"<p>New corporal identity and website for an insurance broker company.</p><p>Deadline: 25 September</p>","globalis-partner","2014-09-01 11:35:12"
208,"GIGI",96,"","gigi","2014-09-02 15:33:55"
209,"ACE Client portal",111,"","ace-client-portal","2014-09-02 15:54:50"
210,"Pick 2014 fogyasztói promóció",33,"","pick","2014-09-03 14:03:52"
211,"Talent Advisor",17,"<p>New website for a global investment advice and management company.</p>","talent-advisor","2014-09-03 16:09:06"
212,"De Bethune",17,"<p>New website for a Swiss luxury watch maker company.</p>","de-bethune","2014-09-05 11:34:54"
213,"Trocadero",96,"<p>Üdülés-közvetítés</p>","trocadero","2014-09-09 12:07:51"
214,"Global Terv",96,"","global-terv","2014-09-12 11:23:48"
215,"DeLonghi",56,"","delonghi","2014-09-14 17:01:48"
216,"MailOnTime web",130,"<p>Website to promote the application</p>","mailontime-web","2014-09-16 13:53:10"
